service_id,date,exception_type
BFA25GEN-N060-Sunday-00_C4,20251225,1
BFA25GEN-N060-Sunday-00_C4,20260101,1
BFA25GEN-N060-Sunday-00_C4,20260222,2
BFA25GEN-N101-Weekday-00_C28,20251127,2
BFA25GEN-N101-Weekday-00_C28,20251225,2
BFA25GEN-N101-Weekday-00_C28,20260101,2
BFA25GEN-N101-Weekday-00_C28,20260119,2
BFA25GEN-N101-Weekday-00_C28,20260216,2
BFA25GEN-N101-Weekday-00_C28,20260217,2
BFA25GEN-N101-Weekday-00_C28,20260218,2
BFA25GEN-N101-Weekday-00_C28,20260219,2
BFA25GEN-N101-Weekday-00_C28,20260220,2
BFA25GEN-N101-Weekday-00_C28,20260223,2
BFA25GEN-N101-Weekday-00_C28,20260224,2
BFA25GEN-Q022-Saturday-00_C26,20260119,1
BFA25GEN-Q022-Saturday-00_C26,20260216,2
BFA25GEN-Q022-Saturday-00_C26,20260221,2
BFA25GEN-Q024-Sunday-00_C35,20251127,1
BFA25GEN-Q024-Sunday-00_C35,20251225,1
BFA25GEN-Q024-Sunday-00_C35,20260101,1
BFA25GEN-Q024-Sunday-00_C35,20260222,2
BFA25GEN-Q071-Weekday-00_C47,20251127,2
BFA25GEN-Q071-Weekday-00_C47,20251225,2
BFA25GEN-Q071-Weekday-00_C47,20260101,2
BFA25GEN-Q071-Weekday-00_C47,20260119,2
BFA25GEN-Q071-Weekday-00_C47,20260216,2
BFA25GEN-Q071-Weekday-00_C47,20260217,2
BFA25GEN-Q071-Weekday-00_C47,20260218,2
BFA25GEN-Q071-Weekday-00_C47,20260219,2
BFA25GEN-Q071-Weekday-00_C47,20260220,2
BFA25GEN-Q071-Weekday-00_C47,20260223,2
BFA25GEN-Q071-Weekday-00_C47,20260224,2
BFA25GEN-R052-Sunday-00_C43,20251127,1
BFA25GEN-R052-Sunday-00_C43,20251225,1
BFA25GEN-R052-Sunday-00_C43,20260101,1
BFA25GEN-R052-Sunday-00_C43,20260222,2
BFA25GEN-R053-Saturday-00_C1,20260119,1
BFA25GEN-R053-Saturday-00_C1,20260216,2
BFA25GEN-R053-Saturday-00_C1,20260221,2
BFA25GEN-R096-Weekday-00_C41,20251127,2
BFA25GEN-R096-Weekday-00_C41,20251225,2
BFA25GEN-R096-Weekday-00_C41,20260101,2
BFA25GEN-R096-Weekday-00_C41,20260119,2
BFA25GEN-R096-Weekday-00_C41,20260216,2
BFA25GEN-R096-Weekday-00_C41,20260217,2
BFA25GEN-R096-Weekday-00_C41,20260218,2
BFA25GEN-R096-Weekday-00_C41,20260219,2
BFA25GEN-R096-Weekday-00_C41,20260220,2
BFA25GEN-R096-Weekday-00_C41,20260223,2
BFA25GEN-R096-Weekday-00_C41,20260224,2
L0S1,20260216,1
L0S2,20260217,1
L0S3,20260218,1
L0S3 -1,20260217,1
L0S4,20260219,1
L0S4 -1,20260218,1
L0S5,20260220,1
L0S5 -1,20260219,1
L0S6,20260221,1
L0S6 -1,20260220,1
L0S7,20260222,1
L0S8,20260223,1
L0S8 -1,20260222,1
L0S9,20260224,1
L0S9 -1,20260223,1
L1S1,20260216,1
L1S1 -1,20260215,1
L1S2,20260217,1
L1S2 -1,20260216,1
