batch	file	name	app_files	test_files	eval_files	hit_lines	classification
batch6c	backend/app/services/agent/tools/places/damn_lines.py	_decoded_history_payload	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/damn_lines.py	_admitted_history_pattern	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/damn_lines.py	_history_pattern_admissible	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/damn_lines.py	_bounded_int	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/damn_lines.py	_positive_int	2	0	0	13	multi-caller
batch6c	backend/app/services/agent/tools/places/damn_lines.py	_fetch_venue_history_rows	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/damn_lines.py	_history_page	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/discover_places.py	_first_verified_place	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/discover_places.py	_enrich_queue_places	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/discover_places.py	_current_queue_lookup	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/discover_places.py	_current_queue_evidence	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/place_reference.py	_resolve_owned_place	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/place_reference.py	_place_details_result	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/place_reference.py	execute	29	77	1	562	public
batch6c	backend/app/services/agent/tools/places/present_places.py	_single_opaque_selection_id	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/present_places.py	_owned_authoritative_record	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/present_places.py	_destination_selection_goal	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/present_places.py	_owned_place_index	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/present_places.py	_repeated_selections	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/present_places.py	_research_claim_error	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/present_places.py	_presented_refs	1	0	0	3	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/present_places.py	_already_shown_result	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/present_places.py	_mark_place_goal_satisfied	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/present_places.py	_place_presentation_events	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/present_places.py	_live_queue_observations	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/present_places.py	_admitted_selection	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/present_places.py	_objective_reason_holds	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/search_local_places.py	_search_request_body	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/search_local_places.py	_nyc_provider_place	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/search_local_places.py	_nyc_place_coordinates	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/search_local_places.py	_nyc_provider_places	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/places/search_local_places.py	_next_page_token	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_branches.py	_resolve_comparison_branches	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_options.py	RoutePreparationAdmission	1	0	0	3	public
batch6c	backend/app/services/agent/tools/route/prepare_route_options.py	_admit_route_preparation	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_options.py	_route_snapshot_identity	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_options.py	_selected_branch_place_ids	1	0	0	2	inline-candidate-or-same-file
batch6c	backend/app/services/agent/tools/route/prepare_route_options.py	_exclude_unselected_branches	1	0	0	2	inline-candidate-or-same-file
